museum_number,animal_id,day,month,year,season,final_identification,field_identification,preparation,locality,dist_village_center,village,grid_name,grid_number,habitat_type,trap_type,trap_number,pitfall_position,latitude,longitude,elevation.obs,sex,tl,tv,hf,ear,mass,hb,testicle_position,testicle_length,testicle_width,epididym,mammae_condition,mammae_number_ax,mammae_number_ab,mammae_number_ing,vagina,embryos_l,embryos_r,embryos_cr,placental_scars_l,placental_scars_r,age_repro,age_dental,habitat_description,notes
NA,JPH210,25,7,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Mandena village,NA,village,Sherman,"house 025  ,trap 025",NA,-14.4768,49.81338,98,male,333,189,30,18,85,NA,NA,22,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,rural village,NA
NA,JPH211,26,7,2018,3,Microgale brevicaudata,Microgale brevicaudata,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Rivomanana,NA,secondary_forest,Pitfall,9,high,-14.4666,49.79697,177,female,116,34,11,10,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,disturbed and secondary forest,"pregnant, 2 embryos"
NA,JPH212,26,7,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Mandena village,NA,village,Sherman,"house 019  ,trap 019",NA,-14.47641,49.8146,74,female,300,170,26,17,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,rural village,"pregnant, 5 embryos"
NA,JPH213,26,7,2018,3,Suncus murinus,Suncus murinus,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Mandena village,NA,village,Sherman,"house 017  ,trap 017",NA,-14.47764,49.81255,91,female,158,60,15,8,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,rural village,"pregnant, 4 embryos"
NA,JPH214,26,7,2018,3,Mus musculus,Mus musculus,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Mandena village,NA,village,Sherman,"house 025  ,trap 025",NA,-14.4768,49.81338,98,male,148,72,14,10,12.1,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,rural village,NA
NA,JPH215,26,7,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Rivomanana,NA,secondary_forest,Sherman,64,NA,-14.4673,49.79703,184,male,365,203,32,19,116,NA,NA,30,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,disturbed and secondary forest,NA
NA,JPH216,26,7,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Rivomanana,NA,secondary_forest,Sherman,73,NA,-14.46735,49.79715,183,male,262,139,25,18,41,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,disturbed and secondary forest,NA
NA,JPH217,27,7,2018,3,Microgale brevicaudata,Microgale brevicaudata,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Rivomanana,NA,secondary_forest,Pitfall,10,low,-14.4676,49.79717,176,male,115,31,10,10,12.7,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,disturbed and secondary forest,NA
NA,JPH218,27,7,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Rivomanana,NA,secondary_forest,Sherman,98,NA,-14.46762,49.79666,187,male,325,181,31,19,70,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,disturbed and secondary forest,NA
NA,JPH219,27,7,2018,3,Rattus rattus,Rattus sp.,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Rivomanana,NA,secondary_forest,Sherman,96,NA,-14.4673,49.79684,181,male,303,159,27,18,60,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,disturbed and secondary forest,NA
NA,JPH220,27,7,2018,3,Eliurus webbi,Eliurus webbi,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Rivomanana,NA,secondary_forest,Sherman,83,NA,-14.46744,49.79715,182,female,288,148,22,17,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,disturbed and secondary forest,NA
NA,JPH221,28,7,2018,3,Microgale brevicaudata,Microgale brevicaudata,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Rivomanana,NA,secondary_forest,Pitfall,3,low,-14.46745,49.7977,152,male,98,29,10,8,4.7,NA,NA,3.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,disturbed and secondary forest,NA
NA,JPH222,28,7,2018,3,Mus musculus,Mus musculus,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Mandena village,NA,village,Sherman,"house 017  ,trap 017",NA,-14.47764,49.81255,91,female,143,71,14,9,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,rural village,NA
NA,JPH223,29,7,2018,3,Suncus etruscus,Suncus etruscus,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Rivomanana,NA,secondary_forest,Pitfall,1,low,-14.46738,49.79784,148,male,79,32,8,5,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,disturbed and secondary forest,NA
NA,JPH224,29,7,2018,3,Mus musculus,Mus musculus,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Mandena village,NA,village,Sherman,"house 027  ,trap 027",NA,-14.47591,49.81266,85,female,142,71,14,9,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,rural village,NA
NA,JPH225,31,7,2018,3,Microgale brevicaudata,Microgale brevicaudata,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Rivomanana,NA,secondary_forest,Pitfall,6,low,-14.46683,49.79674,168,male,103,39,11,9,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,disturbed and secondary forest,NA
NA,JPH226,31,7,2018,3,Mus musculus,Mus musculus,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Mandena village,NA,village,Sherman,"house 031  ,trap 031",NA,-14.47906,49.81573,81,male,129,65,14,9,4.7,NA,NA,4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,rural village,NA
NA,JPH227,1,8,2018,3,Microgale brevicaudata,Microgale brevicaudata,NA,"Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",NA,Mandena,Rivomanana,NA,secondary_forest,Pitfall,4,high,-14.46675,49.79591,203,male,105,36,10,9,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,disturbed and secondary forest,NA
