otu_ID,asv_ID,asv_ID_top,best_id,best_id_dada,NCBI_id,final_id,n,ASV_number,Parasite
204,ASV_5009,ASV_1599,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,3,1599,Y
204,ASV_5197,ASV_1599,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,3,1599,Y
204,ASV_5203,ASV_1599,Hypotrichomonas,Hypotrichomonas_sanderai,NA,Hypotrichomonas,3,1599,Y
205,ASV_1125,ASV_64,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,22,64,Y
205,ASV_1254,ASV_64,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,22,64,Y
205,ASV_1417,ASV_64,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,22,64,Y
205,ASV_1459,ASV_64,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,22,64,Y
205,ASV_1641,ASV_64,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,22,64,Y
205,ASV_1901,ASV_64,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,22,64,Y
205,ASV_2298,ASV_64,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,22,64,Y
205,ASV_2929,ASV_64,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,22,64,Y
205,ASV_3163,ASV_64,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,22,64,Y
205,ASV_3212,ASV_64,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,22,64,Y
205,ASV_3237,ASV_64,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,22,64,Y
205,ASV_5153,ASV_64,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,22,64,Y
205,ASV_64,ASV_64,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,22,64,Y
205,ASV_678,ASV_64,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,22,64,Y
205,ASV_9891,ASV_64,Hypotrichomonas,Hypotrichomonas_mariae,NA,Hypotrichomonas,22,64,Y
