Name	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	ASV
NC_taxa_10boot..1...i..1.8..1245	Eukaryota	Metazoa	Nematoda	NA	NA	NA	NA	NA	ASV_1412
NC_taxa_10boot..1...i..1.8..1246	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Trichostrongylidae	Viannaia	NA	ASV_1413
NC_taxa_10boot..1...i..1.8..1247	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	NA	NA	NA	ASV_1414
NC_taxa_10boot..1...i..1.8..1248	Eukaryota	Metazoa	Nematoda	NA	NA	NA	NA	NA	ASV_1415
NC_taxa_10boot..1...i..1.8..1249	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Cooperiidae	Cooperia	NA	ASV_1416
NC_taxa_10boot..1...i..1.8..1250	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Cooperiidae	Cooperia	Cooperia_spatulata	ASV_1417
NC_taxa_10boot..1...i..1.8..1251	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Ancylostomatidae	Globocephalus	Globocephalus_urosubulatus	ASV_1418
NC_taxa_10boot..1...i..1.8..1252	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	NA	NA	NA	ASV_1419
NC_taxa_10boot..1...i..1.8..1253	Eukaryota	Metazoa	Nematoda	Chromadorea	NA	NA	NA	NA	ASV_1420
NC_taxa_10boot..1...i..1.8..1254	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Trichostrongylidae	Trichostrongylus	Trichostrongylus_axei	ASV_1421
NC_taxa_10boot..1...i..1.8..1255	Eukaryota	Metazoa	Nematoda	Chromadorea	NA	NA	NA	NA	ASV_1424
NC_taxa_10boot..1...i..1.8..1256	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Chabertiidae	Oesophagostomum	NA	ASV_1425
NC_taxa_10boot..1...i..1.8..1257	Eukaryota	Metazoa	Nematoda	Chromadorea	NA	NA	NA	NA	ASV_1426
NC_taxa_10boot..1...i..1.8..1258	Eukaryota	Metazoa	Nematoda	Chromadorea	NA	NA	NA	NA	ASV_1427
NC_taxa_10boot..1...i..1.8..1259	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Trichostrongylidae	Viannaia	NA	ASV_1429
NC_taxa_10boot..1...i..1.8..1260	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Trichostrongylidae	Viannaia	NA	ASV_1430
NC_taxa_10boot..1...i..1.8..1261	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Trichostrongylidae	Viannaia	NA	ASV_1431
NC_taxa_10boot..1...i..1.8..1262	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	NA	NA	NA	ASV_1432
NC_taxa_10boot..1...i..1.8..1263	Eukaryota	Metazoa	Nematoda	Chromadorea	NA	NA	NA	NA	ASV_1433
NC_taxa_10boot..1...i..1.8..1264	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Trichostrongylidae	Viannaia	Viannaia_hamata	ASV_1434
NC_taxa_10boot..1...i..1.8..1265	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Ancylostomatidae	Necator	Necator_americanus	ASV_1435
NC_taxa_10boot..1...i..1.8..1266	Eukaryota	Metazoa	Nematoda	Chromadorea	NA	NA	NA	NA	ASV_1436
NC_taxa_10boot..1...i..1.8..1267	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	NA	NA	NA	ASV_1437
NC_taxa_10boot..1...i..1.8..1268	Eukaryota	Metazoa	Nematoda	Chromadorea	NA	NA	NA	NA	ASV_1438
NC_taxa_10boot..1...i..1.8..1269	Eukaryota	Metazoa	Nematoda	Chromadorea	NA	NA	NA	NA	ASV_1439
NC_taxa_10boot..1...i..1.8..1270	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Cooperiidae	Cooperia	Cooperia_spatulata	ASV_1440
NC_taxa_10boot..1...i..1.8..1271	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	NA	NA	NA	ASV_1441
NC_taxa_10boot..1...i..1.8..1272	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	NA	NA	NA	ASV_1442
NC_taxa_10boot..1...i..1.8..1273	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Haemonchidae	Haemonchus	Haemonchus_similis	ASV_1443
NC_taxa_10boot..1...i..1.8..1274	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Trichostrongylidae	Viannaia	NA	ASV_1444
NC_taxa_10boot..1...i..1.8..1275	Eukaryota	Metazoa	Nematoda	NA	NA	NA	NA	NA	ASV_1445
NC_taxa_10boot..1...i..1.8..1276	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	NA	NA	NA	ASV_1446
NC_taxa_10boot..1...i..1.8..1277	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	NA	NA	NA	ASV_1447
NC_taxa_10boot..1...i..1.8..1278	Eukaryota	Metazoa	Nematoda	Chromadorea	NA	NA	NA	NA	ASV_1450
NC_taxa_10boot..1...i..1.8..1279	Eukaryota	Metazoa	Nematoda	Chromadorea	NA	NA	NA	NA	ASV_1453
NC_taxa_10boot..1...i..1.8..1280	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Trichostrongylidae	Trichostrongylus	Trichostrongylus_axei	ASV_1454
NC_taxa_10boot..1...i..1.8..1281	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	NA	NA	NA	ASV_1455
NC_taxa_10boot..1...i..1.8..1282	Eukaryota	Metazoa	Nematoda	Chromadorea	NA	NA	NA	NA	ASV_1456
NC_taxa_10boot..1...i..1.8..1283	Eukaryota	Metazoa	Nematoda	Chromadorea	NA	NA	NA	NA	ASV_1458
NC_taxa_10boot..1...i..1.8..1284	Eukaryota	Metazoa	Nematoda	Chromadorea	Rhabditida	NA	NA	NA	ASV_1460
NC_taxa_10boot..1...i..1.8..1285	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Trichostrongylidae	Trichostrongylus	Trichostrongylus_colubriformis	ASV_1462
NC_taxa_10boot..1...i..1.8..1286	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	NA	NA	NA	ASV_1463
NC_taxa_10boot..1...i..1.8..1287	Eukaryota	Metazoa	Nematoda	Chromadorea	NA	NA	NA	NA	ASV_1465
NC_taxa_10boot..1...i..1.8..1288	Eukaryota	Metazoa	Nematoda	NA	NA	NA	NA	NA	ASV_1467
NC_taxa_10boot..1...i..1.8..1289	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Trichostrongylidae	Trichostrongylus	Trichostrongylus_axei	ASV_1470
NC_taxa_10boot..1...i..1.8..1290	Eukaryota	Metazoa	Nematoda	NA	NA	NA	NA	NA	ASV_1471
NC_taxa_10boot..1...i..1.8..1291	Eukaryota	Metazoa	Nematoda	Chromadorea	Strongylida	Ancylostomatidae	NA	NA	ASV_1472
