ASV,best_id,best_id_dada,NCBI_id,final_id,n,ASV_number,Parasite
ASV_1175,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,7,1175,Y
ASV_226,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,35,226,Y
ASV_731,Tritrichomonas,Tritrichomonas,,Tritrichomonas,8,731,Y
ASV_1246,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,6,1246,Y
ASV_6117,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,6117,M
ASV_2759,Eimeria,Eimeria,,Eimeria,1,2759,Y
ASV_229,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,39,229,Y
ASV_6225,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,6225,M
ASV_7360,Tritrichomonas,Tritrichomonas,,Tritrichomonas,1,7360,Y
ASV_278,Eimeria,Eimeria,,Eimeria,6,278,Y
ASV_2782,Trichomitus,Trichomitus_batrachorum,,Trichomitus_batrachorum,1,2782,Y
ASV_2301,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,2,2301,Y
ASV_6362,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,6362,M
ASV_28,Rhabditida,Rhabditida,0,Rhabditida,2,28,Y
ASV_6645,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,6645,M
ASV_281,Balantidium,Neobalantidium_coli,,Neobalantidium_coli,11,281,Y
ASV_13152,Tetratrichomonas,Tetratrichomonas_buttreyi,,Tetratrichomonas,1,13152,Y
ASV_2365,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,3,2365,Y
ASV_2397,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,3,2397,Y
ASV_7285,Elev-18S-1089,Cryptosporidiidae_environmental_sample,,Apicomplexa,1,7285,M
ASV_2435,Simplicimonas,Simplicimonas_similis,,Simplicimonas_similis,2,2435,Y
ASV_737,Tritrichomonas,Tritrichomonas,,Tritrichomonas,1,737,Y
